permutacion,f1_macro_nulo
560,0.24975370265208674
561,0.2518597109939337
562,0.25097519382517824
563,0.25319317425270427
564,0.2506244539576617
565,0.2521656339011181
566,0.2473143035542736
567,0.24996883120721008
568,0.25498516351763134
569,0.24465677976868982
570,0.25251090319970343
571,0.25932437898579885
572,0.2504336000955619
573,0.2556745701339791
574,0.24793638529336015
575,0.247699350607162
576,0.24708847921885066
577,0.24292105048944349
578,0.25369293952961874
579,0.25452875694923977
580,0.2477456647815955
581,0.2500107363566483
582,0.24782873147857246
583,0.2518012841159555
584,0.24815155978148218
585,0.24724592472579082
586,0.2535357493086191
587,0.24697552180072427
588,0.2466323731521767
589,0.24770614182798503
590,0.2570399365695138
591,0.24802253696147541
592,0.25418295057326923
593,0.25426563613839537
594,0.24306415465089526
595,0.2458461678973108
596,0.24723759307899207
597,0.2481904938826228
598,0.2475338016049273
599,0.24611307558797335
600,0.24679707592380884
601,0.25528118279896006
602,0.24920136638464713
603,0.2544781195348246
604,0.2517974665860678
605,0.24475398627882333
606,0.24064420753278762
607,0.24449297873418405
608,0.24132196122961008
609,0.24581113901747387
610,0.25388585393772184
611,0.24730575383091147
612,0.26193799414037944
613,0.2508985837006177
614,0.25405362686379734
615,0.2490242159385136
616,0.24745625555444556
617,0.2597161645162165
618,0.2495033094659837
619,0.2506049594048171
620,0.24751838447234553
621,0.2522127276912827
622,0.24556845701434504
623,0.24886788324225415
624,0.25235930806068047
625,0.24849557812882708
626,0.244524943598835
627,0.25158868212068836
628,0.2459005655723717
629,0.24624520583699824
630,0.24734714007951886
631,0.24753584270670898
632,0.2464402086548523
633,0.24569090132633004
634,0.24775181068213983
635,0.24407112768312564
636,0.24217219058509365
637,0.25630370304946154
638,0.24823841397392044
639,0.25178449073666853
640,0.24743322052832795
641,0.2518123065318971
642,0.2427978275068447
643,0.24878996229667913
644,0.2541091898123884
645,0.24593940631887629
646,0.24919520477132032
647,0.25580243126128666
648,0.2506969372133274
649,0.25093939451538766
650,0.2480071921721829
651,0.25266904532368295
652,0.2524821803105105
653,0.25492176687692314
654,0.24421867513685402
655,0.2511846061220469
656,0.23943192288326443
657,0.2463677606698588
658,0.2472792054590331
659,0.24333339934062234
660,0.2522879878236548
661,0.24772982884791633
662,0.25916255270535865
663,0.25454020990355847
664,0.24929067682064704
665,0.2522569520094322
666,0.24781144462844634
667,0.24540673959936565
668,0.2456577102232087
669,0.25072094316888294
670,0.24394714370449228
671,0.24150165666950654
672,0.24749343633101928
673,0.2528045118479193
674,0.2523928426264062
675,0.25226253730900206
676,0.2563791487671227
677,0.24508462227032096
678,0.24555312805842716
679,0.24931527864784925
680,0.2473824038305789
681,0.2537011846390006
682,0.25068456756842733
683,0.24459258722593064
684,0.24752615658387922
685,0.2491875317659324
686,0.2545416400175405
687,0.24715109642961763
688,0.2436513020441584
689,0.2466909949610735
690,0.2508849000837255
691,0.2488808437435267
692,0.24579258007436516
693,0.24877889104774875
694,0.2539928440214161
695,0.250522610700882
696,0.24087241431502587
697,0.24780462275755366
698,0.2516325734879518
699,0.24902008957795857
700,0.2534670015223426
701,0.245222010496068
702,0.25301624142326473
703,0.2512635687795886
704,0.24969649687671236
705,0.24599697240054458
706,0.24619637108211379
707,0.25326586459025374
708,0.24796117903089868
709,0.2538173042754473
710,0.2570174096030347
711,0.24816754073121378
712,0.2494990637472634
713,0.25106544585031937
714,0.24660067254115123
715,0.25083817858812213
716,0.251845034927917
717,0.2606374035574458
718,0.2540027984287686
719,0.24988365281807726
720,0.2509921467862251
721,0.2509696884385201
722,0.2493811193580619
723,0.25100151731019815
724,0.24966835830075224
725,0.24666606586929718
726,0.25155531963332967
727,0.24586302423215178
728,0.2522373974662213
729,0.24665144455047683
730,0.24804730342781758
731,0.2459179663453386
732,0.2596307472480553
733,0.24636046373894172
734,0.2435395764954199
735,0.25547401254603264
736,0.24748929165714978
737,0.2515365764377968
738,0.24955002451594768
739,0.249823517524927
740,0.2453114491044308
741,0.2569309326973399
742,0.25152932605552164
743,0.2544929688683891
744,0.2507948589953786
745,0.245251246235124
746,0.2481356181333199
747,0.24567473106679422
748,0.25175422279397325
749,0.25823912009726485
750,0.24592634525800092
751,0.24973329821895582
752,0.25249888921455677
753,0.2529472382858501
754,0.24938552007719927
755,0.25643061393612804
756,0.24566840790991068
757,0.2549127627102117
758,0.25212923722411795
759,0.2486057281828754
760,0.25388325804186984
761,0.24729964983246858
762,0.24599218539467602
763,0.24673708815895357
764,0.2520186781513792
765,0.25324939090591836
766,0.25293178348402184
767,0.252005600618394
768,0.2481436286386341
769,0.24590397704875666
770,0.248781930965808
771,0.24096023370848427
772,0.25009809840676733
773,0.2486746734221161
774,0.24654154815004609
775,0.24935730340644024
776,0.2525635686036499
777,0.24828970775868844
778,0.25110722388618
779,0.24906070705202718
780,0.2547640542094433
781,0.25483089796878844
782,0.24818844811120871
783,0.2541239514776289
784,0.2468778956164979
785,0.25717968489786436
786,0.25481069047047866
787,0.24975732865938574
788,0.2519528857658154
